INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,TRAVTIME,BLUEBOOK,TIF,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,PARENT1_Yes,MSTATUS_z_No,SEX_z_F,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,EDUCATION_z_High School,JOB_Doctor,JOB_Home Maker,JOB_Lawyer,JOB_Manager,JOB_Professional,JOB_Student,JOB_z_Blue Collar,CAR_USE_Private,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_Sports Car,CAR_TYPE_Van,CAR_TYPE_z_SUV,RED_CAR_yes,REVOKED_Yes,URBANICITY_z_Highly Rural/ Rural
59,0,0.0,0,59.0,0,5.0,106775.0,,10,31930.0,1,0.0,0,0,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
61,1,6100.0,0,40.0,0,11.0,16989.0,0.0,20,12230.0,4,26104.0,1,13,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
65,1,8840.683568299999,0,44.0,2,15.0,16352.0,134164.0,37,10520.0,1,7838.0,1,1,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
66,0,0.0,0,56.0,0,16.0,44760.0,164852.0,30,21770.0,13,0.0,0,0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
67,1,2117.0,1,45.0,1,14.0,63952.0,196368.0,50,32340.0,6,27877.0,2,0,13.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
69,0,0.0,0,48.0,0,,,252896.0,14,28560.0,13,1554.0,5,1,10.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
70,1,3532.0,1,44.0,2,,24060.0,0.0,24,14220.0,4,0.0,0,0,10.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
71,1,866.0,0,33.0,4,12.0,20822.0,76022.0,46,6880.0,13,7896.0,3,0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
72,0,0.0,0,32.0,3,14.0,54968.0,146784.0,20,10040.0,4,0.0,0,0,8.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
73,1,7786.0,0,34.0,0,8.0,14194.0,87034.0,13,2920.0,4,24767.0,3,2,10.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
74,0,0.0,1,38.0,4,12.0,2149.0,72889.0,35,22690.0,10,0.0,0,2,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
77,1,4148.0,2,43.0,3,11.0,137103.0,0.0,29,19510.0,1,8890.0,3,0,15.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
78,0,0.0,0,49.0,0,9.0,,0.0,31,33710.0,3,34351.0,2,2,18.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
79,0,0.0,0,46.0,0,10.0,79538.0,0.0,13,14050.0,3,0.0,0,2,11.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
80,0,0.0,0,45.0,1,11.0,185836.0,509115.0,28,10250.0,1,4307.0,3,6,20.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
81,0,0.0,0,46.0,0,14.0,,397661.0,22,33320.0,4,0.0,0,1,12.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
82,0,0.0,0,45.0,0,11.0,61931.0,213530.0,30,10910.0,13,25106.0,2,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
84,0,0.0,0,63.0,0,9.0,74426.0,0.0,11,27600.0,1,0.0,0,0,18.0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
85,0,0.0,0,44.0,0,9.0,74722.0,231034.0,9,23640.0,6,0.0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
86,1,2371.0,1,45.0,2,11.0,102393.0,0.0,25,1500.0,1,0.0,0,2,11.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
88,0,0.0,0,48.0,0,0.0,0.0,98920.0,50,8660.0,3,8363.0,2,3,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
89,1,4804.0,1,37.0,2,12.0,,205211.0,43,5200.0,1,2718.0,1,1,3.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0,0.0,0,35.0,0,,29371.0,0.0,49,4860.0,10,0.0,0,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
91,1,1354.0,0,48.0,0,12.0,31773.0,165090.0,14,9640.0,13,1212.0,1,4,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,0,0.0,0,49.0,0,0.0,0.0,159389.0,42,6400.0,10,9115.0,1,6,14.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
94,0,0.0,0,44.0,2,15.0,139330.0,316900.0,35,22050.0,10,0.0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
95,0,0.0,0,50.0,0,13.0,163296.0,447616.0,42,22830.0,1,0.0,0,0,14.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
96,0,0.0,0,30.0,1,10.0,17455.0,140978.0,50,12380.0,13,0.0,0,0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
97,0,0.0,0,54.0,0,,71007.0,240833.0,61,14000.0,6,0.0,0,0,11.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
99,1,2425.0,0,53.0,0,6.0,38036.0,153381.0,32,13140.0,1,0.0,0,4,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100,0,0.0,0,53.0,0,13.0,41199.0,150933.0,21,15360.0,1,0.0,0,0,8.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
101,0,0.0,0,29.0,1,10.0,38042.0,202967.0,15,15160.0,6,0.0,0,0,1.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
102,0,0.0,0,58.0,0,11.0,91223.0,0.0,23,10620.0,6,0.0,0,0,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
103,0,0.0,0,55.0,0,7.0,45787.0,173196.0,5,19380.0,6,0.0,0,0,13.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
104,0,0.0,0,55.0,0,,84964.0,227091.0,21,5760.0,1,969.0,2,6,11.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
105,0,0.0,0,56.0,0,8.0,38240.0,190675.0,28,16220.0,4,0.0,0,0,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
108,0,0.0,0,34.0,0,11.0,51565.0,0.0,36,18110.0,1,759.0,2,3,15.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
109,1,5711.0,0,34.0,3,0.0,0.0,66358.0,25,11740.0,9,1800.0,2,2,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110,0,0.0,0,36.0,0,11.0,105384.0,267509.0,24,13800.0,7,31695.0,3,4,17.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
111,1,13105.327626,0,41.0,0,10.0,66265.0,159276.0,59,12230.0,4,0.0,0,1,9.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
112,1,4061.0,0,46.0,0,7.0,,,17,23350.0,13,4678.0,3,6,17.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
114,0,0.0,0,42.0,0,9.0,76226.0,217920.0,18,23390.0,13,0.0,0,0,14.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
115,0,0.0,1,38.0,3,16.0,7528.0,113809.0,26,8080.0,1,0.0,0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
116,1,7838.0,0,33.0,4,0.0,0.0,0.0,14,15090.0,1,1631.0,1,2,5.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
117,1,3660.0,0,37.0,0,0.0,,73890.0,48,12850.0,7,0.0,0,3,6.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
118,0,0.0,1,42.0,1,9.0,32797.0,160661.0,63,21690.0,1,0.0,0,2,14.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
119,1,5125.0,0,47.0,0,11.0,44705.0,217885.0,50,12840.0,1,1533.0,2,0,10.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
121,0,0.0,0,52.0,0,9.0,68992.0,216986.0,36,15120.0,1,0.0,0,3,10.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
122,0,0.0,0,43.0,0,11.0,132561.0,314433.0,8,30150.0,16,12294.0,1,0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
124,0,0.0,0,66.0,1,17.0,96830.0,325826.0,23,11180.0,7,0.0,0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
127,1,2143.0,0,52.0,0,7.0,64014.0,244863.0,33,7900.0,4,8882.0,3,1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
130,0,0.0,1,38.0,1,7.0,,0.0,40,7050.0,4,0.0,0,0,10.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
132,0,0.0,0,47.0,0,14.0,,276241.0,48,21320.0,1,0.0,0,0,13.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
133,0,0.0,0,37.0,0,12.0,123520.0,383731.0,14,17550.0,1,0.0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
134,0,0.0,0,47.0,0,13.0,45257.0,160051.0,33,29210.0,6,0.0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
136,0,0.0,1,61.0,2,17.0,41857.0,169015.0,35,20870.0,1,0.0,0,0,21.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
137,1,2114.0,0,41.0,1,8.0,126468.0,0.0,34,32690.0,3,0.0,0,2,18.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
138,0,0.0,3,40.0,3,9.0,75516.0,247673.0,53,13050.0,5,0.0,0,0,6.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
139,0,0.0,0,52.0,0,16.0,76954.0,249290.0,44,19540.0,6,0.0,0,0,11.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
140,0,0.0,0,58.0,1,8.0,150352.0,421665.0,21,24240.0,6,0.0,0,0,17.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
142,1,8671.0,1,38.0,1,12.0,37580.0,173495.0,36,5260.0,7,867.0,2,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
143,1,6287.0,0,41.0,2,15.0,23344.0,147172.0,10,7930.0,1,0.0,0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
144,0,0.0,0,37.0,0,16.0,43290.0,158771.0,29,23640.0,1,0.0,0,0,10.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
145,0,0.0,0,48.0,0,10.0,48737.0,220264.0,24,11220.0,9,0.0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
146,0,0.0,0,47.0,0,12.0,64259.0,202031.0,26,25100.0,18,9526.0,4,3,9.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
149,0,0.0,0,41.0,0,6.0,12541.0,0.0,5,7500.0,1,0.0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
150,0,0.0,0,47.0,0,12.0,104271.0,265153.0,40,36120.0,4,0.0,0,0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
152,0,0.0,0,44.0,1,,67278.0,220556.0,49,20210.0,1,0.0,0,0,16.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
153,0,0.0,0,46.0,0,10.0,104990.0,306540.0,40,16080.0,13,0.0,0,0,7.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
154,0,0.0,0,49.0,0,6.0,89948.0,0.0,37,18160.0,7,0.0,0,4,9.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
155,0,0.0,0,33.0,1,12.0,111427.0,321483.0,35,28180.0,1,0.0,0,3,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,1,1807.0,1,43.0,2,11.0,76159.0,0.0,52,19750.0,4,0.0,0,0,,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
159,0,0.0,0,62.0,0,6.0,107734.0,0.0,54,18470.0,3,0.0,0,0,15.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
160,1,10593.946633,0,42.0,0,0.0,0.0,,47,5700.0,11,0.0,0,5,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
161,0,0.0,0,36.0,2,12.0,25282.0,0.0,38,11160.0,1,0.0,0,0,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
162,0,0.0,0,47.0,0,11.0,18549.0,116136.0,24,12800.0,7,0.0,0,0,14.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
163,0,0.0,0,50.0,0,14.0,,147191.0,11,17300.0,13,0.0,0,0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
164,0,0.0,0,51.0,0,9.0,50166.0,187297.0,32,11620.0,1,50701.0,3,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
165,0,0.0,0,46.0,0,8.0,73872.0,245878.0,43,20240.0,4,0.0,0,0,16.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
166,0,0.0,0,50.0,0,14.0,73343.0,254600.0,60,20010.0,1,4179.0,2,4,8.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
167,1,6158.0,0,43.0,2,15.0,49849.0,0.0,35,13130.0,1,3622.0,3,4,20.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
168,1,4887.0,1,39.0,1,16.0,12054.0,0.0,28,15760.0,4,1738.0,2,4,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
169,0,0.0,0,43.0,3,14.0,48184.0,209188.0,50,14530.0,12,6891.0,2,5,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
170,1,5147.0,0,60.0,3,18.0,78936.0,235670.0,40,20350.0,6,0.0,0,0,15.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
171,0,0.0,0,55.0,0,0.0,0.0,0.0,33,7000.0,4,0.0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
172,0,0.0,0,40.0,0,10.0,78914.0,229055.0,36,5500.0,10,6803.0,2,6,10.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
173,0,0.0,0,39.0,0,6.0,77125.0,210840.0,49,9570.0,7,0.0,0,1,13.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
175,0,0.0,0,38.0,0,14.0,25835.0,109685.0,29,8490.0,6,0.0,0,1,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
176,0,0.0,0,42.0,0,12.0,47660.0,180206.0,31,11940.0,7,974.0,2,6,18.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
